Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.19     0.00       55     0.00     0.00  std::allocator_traits<std::allocator<std::_Sp_counted_ptr_inplace<std::thread::_Impl<std::_Bind_simple<void (*(int))(int)> >, std::allocator<std::thread::_Impl<std::_Bind_simple<void (*(int))(int)> > >, (__gnu_cxx::_Lock_policy)2> > >::allocate(std::allocator<std::_Sp_counted_ptr_inplace<std::thread::_Impl<std::_Bind_simple<void (*(int))(int)> >, std::allocator<std::thread::_Impl<std::_Bind_simple<void (*(int))(int)> > >, (__gnu_cxx::_Lock_policy)2> >&, unsigned long)
  0.00      0.19     0.00       55     0.00     0.00  std::_Maybe_wrap_member_pointer<void (*)(int)>::__do_wrap(void (*&&)(int))
  0.00      0.19     0.00       54     0.00     0.00  std::_Tuple_impl<0ul, void (*)(int), int>::_Tuple_impl<void (*)(int)<int&>, void>(void (*)(int)<int&>&&, (void&&)...)
  0.00      0.19     0.00       54     0.00     0.00  std::__shared_ptr<std::thread::_Impl_base, (__gnu_cxx::_Lock_policy)2>::__shared_ptr()
  0.00      0.19     0.00       54     0.00     0.00  std::__shared_ptr<std::thread::_Impl<std::_Bind_simple<void (*(int))(int)> >, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      0.19     0.00       54     0.00     0.00  std::shared_ptr<std::thread::_Impl<std::_Bind_simple<void (*(int))(int)> > > std::thread::_M_make_routine<std::_Bind_simple<void (*(int))(int)> >(std::_Bind_simple<void (*(int))(int)>&&)
  0.00      0.19     0.00       53     0.00     0.00  std::shared_ptr<std::thread::_Impl_base>::shared_ptr()
  0.00      0.19     0.00       53     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::_M_swap(std::__shared_count<(__gnu_cxx::_Lock_policy)2>&)
  0.00      0.19     0.00       53     0.00     0.00  std::shared_ptr<std::thread::_Impl<std::_Bind_simple<void (*(int))(int)> > > std::make_shared<std::thread::_Impl<std::_Bind_simple<void (*(int))(int)> >, std::_Bind_simple<void (*(int))(int)> >(std::_Bind_simple<void (*(int))(int)>&&)
  0.00      0.19     0.00       52     0.00     0.00  _ZN9__gnu_cxx13new_allocatorINSt6thread5_ImplISt12_Bind_simpleIFPFviEiEEEEE9constructIS8_IS7_EEEvPT_DpOT0_
  0.00      0.19     0.00       52     0.00     0.00  __gnu_cxx::new_allocator<std::_Sp_counted_ptr_inplace<std::thread::_Impl<std::_Bind_simple<void (*(int))(int)> >, std::allocator<std::thread::_Impl<std::_Bind_simple<void (*(int))(int)> > >, (__gnu_cxx::_Lock_policy)2> >::allocate(unsigned long, void const*)
  0.00      0.19     0.00       52     0.00     0.00  std::shared_ptr<std::thread::_Impl<std::_Bind_simple<void (*(int))(int)> > >::~shared_ptr()
  0.00      0.19     0.00       52     0.00     0.00  std::_Tuple_impl<1ul, int>::_Tuple_impl(std::_Tuple_impl<1ul, int>&&)
  0.00      0.19     0.00       52     0.00     0.00  std::thread::_Impl<std::_Bind_simple<void (*(int))(int)> >::_Impl(std::_Bind_simple<void (*(int))(int)>&&)
  0.00      0.19     0.00       52     0.00     0.00  std::thread::thread<void (&)(int), int&>(void (&)(int), int&)
  0.00      0.19     0.00       51     0.00     0.00  __gnu_cxx::new_allocator<std::thread::_Impl<std::_Bind_simple<void (*(int))(int)> > >::new_allocator()
  0.00      0.19     0.00       51     0.00     0.00  __gnu_cxx::new_allocator<std::_Sp_counted_ptr_inplace<std::thread::_Impl<std::_Bind_simple<void (*(int))(int)> >, std::allocator<std::thread::_Impl<std::_Bind_simple<void (*(int))(int)> > >, (__gnu_cxx::_Lock_policy)2> >::max_size() const
